nodes	props	values
Hewlett-Packard	Headquarters	U.S.
Hewlett-Packard	Industry	Computer hardware
Hewlett-Packard	Industry	Computer software
Hewlett-Packard	Industry	IT consulting
Hewlett-Packard	Industry	IT services
Hewlett-Packard	Number of employees	66,000 (2017)
Hewlett-Packard	Revenue	111,454,000,000
Hewlett-Packard	Revenue	US dollar
Hewlett-Packard	Total assets	103,206,000,000
Hewlett-Packard	Total assets	US dollar
Hewlett-Packard	Website	www
Hyves	Available in	Dutch
Hyves	Available in	English
Hyves	Current status	Defunct
Hyves	Launched	October 10, 2004
Hyves	Website	www.hyves.nl
IBM Connections	License	License
IBM Connections	Operating system	Cross-platform
IBM Connections	Type	collaboration
IBM Connections	Type	web 2.0
IBM Connections	Website	http://www-03.ibm.com/software/products/en/conn
IBM Lotus Freelance Graphics	License	Proprietary
IBM Lotus Freelance Graphics	Operating system	Microsoft Windows
IBM Lotus Freelance Graphics	Type	Presentation program
IBM Lotus Freelance Graphics	Website	Freelance Graphics
IRC-Galleria	Current status	Active
IRC-Galleria	Website	www
IdeaPlane	Headquarters	London
IdeaPlane	Headquarters	United Kingdom
IdeaPlane	Industry	Collaboration software
IdeaPlane	Industry	Computer software
IdeaPlane	Industry	Enterprise Social Networking
IdeaPlane	Industry	Enterprise content management
IdeaPlane	Industry	Social Networking
IdeaPlane	Industry	Social software
IdeaPlane	Type	Private
IdeaPlane	Website	ideaplane.com
Idka	Area served	Worldwide
Idka	Available in	Multilingual
Idka	Current status	Active
Idka	Headquarters	Stockholm
Idka	Headquarters	Sweden
Idka	Industry	Internet
Instagram	Available in	32
Instagram	Initial release	2010-10-06
Instagram	Initial release	October 6, 2010
Instagram	License	Freeware
Instagram	Operating system	Android
Instagram	Operating system	Windows
Instagram	Operating system	iOS
Instagram	Website	Instagram.com
Integrated Authority File	Website	www
Jenoptik	Founded	1991
Jenoptik	Headquarters	Germany
Jenoptik	Headquarters	Jena
Jenoptik	Industry	Optoelectronics
Jenoptik	Industry	engineering
Jenoptik	Number of employees	3,539
Jenoptik	Revenue	€684,8 million
Jenoptik	Type	Aktiengesellschaft
Jenoptik	Website	www.jenoptik.com
Keynote (presentation software)	Available in	33 languages
Keynote (presentation software)	Initial release	2010
Keynote (presentation software)	License	Proprietary
Keynote (presentation software)	Operating system	iOS
Keynote (presentation software)	Type	Presentation
Keynote (presentation software)	Website	apple
LinkedIn	Advertising	AdSense
LinkedIn	Advertising	Google
LinkedIn	Area served	Worldwide
LinkedIn	Available in	Multilingual
LinkedIn	Current status	Active
LinkedIn	Employees	15,000 (2019)
LinkedIn	Founded	2002-12-28
LinkedIn	Founded	California
LinkedIn	Founded	December 28, 2002
LinkedIn	Founded	Mountain View
LinkedIn	Founded	U.S.
LinkedIn	Headquarters	Sunnyvale, California
LinkedIn	Headquarters	U.S.
LinkedIn	Industry	Internet
LinkedIn	Launched	2003-05-05
LinkedIn	Launched	May 5, 2003
LinkedIn	Type of business	Subsidiary
LinkedIn	Website	www
LockerDome	Headquarters	St. Louis
LockerDome	Website	Official website
Marco Polo (app)	Founded	2012
Marco Polo (app)	Industry	Social Media App
Marco Polo (app)	Type	Startup company
Marco Polo (app)	Website	www
Mashable	Available in	English, French
Mashable	Current status	Active
Mashable	Employees	120
Mashable	Employees	citation needed
Mashable	Founded	2005-07-19
Mashable	Founded	July 19, 2005
Mashable	Headquarters	New York City
Mashable	Type of business	Subsidiary
Mashable	Website	mashable
Mastodon (software)	Available in	Albanian
Mastodon (software)	Available in	Arabic
Mastodon (software)	Available in	Armenian
Mastodon (software)	Available in	Asturian
Mastodon (software)	Available in	Basque
Mastodon (software)	Available in	Bengali
Mastodon (software)	Available in	Bulgarian
Mastodon (software)	Available in	Catalan
Mastodon (software)	Available in	Chinese
Mastodon (software)	Available in	Corsican
Mastodon (software)	Available in	Croatian
Mastodon (software)	Available in	Czech
Mastodon (software)	Available in	Danish
Mastodon (software)	Available in	Dutch
Mastodon (software)	Available in	English
Mastodon (software)	Available in	Esperanto
Mastodon (software)	Available in	Estonian
Mastodon (software)	Available in	Finnish
Mastodon (software)	Available in	French
Mastodon (software)	Available in	Galego
Mastodon (software)	Available in	Galician
Mastodon (software)	Available in	German
Mastodon (software)	Available in	Greek
Mastodon (software)	Available in	Hebrew
Mastodon (software)	Available in	Hungarian
Mastodon (software)	Available in	Ido
Mastodon (software)	Available in	Indonesian
Mastodon (software)	Available in	Italian
Mastodon (software)	Available in	Japanese
Mastodon (software)	Available in	Kazakh
Mastodon (software)	Available in	Korean
Mastodon (software)	Available in	Latvian
Mastodon (software)	Available in	Lithuanian
Mastodon (software)	Available in	Malay
Mastodon (software)	Available in	Norwegian
Mastodon (software)	Available in	Occitan
Mastodon (software)	Available in	Persian
Mastodon (software)	Available in	Polish
Mastodon (software)	Available in	Portuguese
Mastodon (software)	Available in	Romanian
Mastodon (software)	Available in	Russian
Mastodon (software)	Available in	Serbian
Mastodon (software)	Available in	Slovak
Mastodon (software)	Available in	Slovenian
Mastodon (software)	Available in	Spanish
Mastodon (software)	Available in	Swedish
Mastodon (software)	Available in	Tamil
Mastodon (software)	Available in	Telugu
Mastodon (software)	Available in	Thai
Mastodon (software)	Available in	Turkish
Mastodon (software)	Available in	Ukrainian
Mastodon (software)	Available in	Welsh
Mastodon (software)	Initial release	16 March 2016
Mastodon (software)	Initial release	2016-03-16
Mastodon (software)	License	GNU Affero General Public License
Mastodon (software)	Operating system	BSD
Mastodon (software)	Operating system	Linux
Mastodon (software)	Operating system	Unix
Mastodon (software)	Type	Microblogging
Mastodon (software)	Website	joinmastodon
Mastodon (software)	Written in	JavaScript
Mastodon (software)	Written in	React.js
Mastodon (software)	Written in	Redux
Mastodon (software)	Written in	Ruby on Rails
Mentimeter	Headquarters	Stockholm
Mentimeter	Headquarters	Sweden
Mentimeter	Industry	Software
Mentimeter	Type	Private
Mentimeter	Website	www
Microsoft Algeria	Area served	Algeria
Microsoft Algeria	Founded	2011
Microsoft Algeria	Headquarters	Algeria
Microsoft Algeria	Headquarters	Algiers
Microsoft Algeria	Industry	Software
Microsoft Algeria	Number of employees	24 employees
Microsoft Algeria	Type	Private
Microsoft Algeria	Website	microsoft
Microsoft HoloLens	Operating system	Windows Mixed Reality
Microsoft HoloLens	Release date	2016-03-30
Microsoft HoloLens	Release date	March 30, 2016
Microsoft HoloLens	Release date	N/A
Microsoft HoloLens	Type	Mixed reality
Microsoft HoloLens	Type	augmented reality
Microsoft HoloLens	Type	head-mounted display
Microsoft HoloLens	Type	smartglasses
Microsoft HoloLens	Website	Official website
Microsoft Japan	Founded	November 16, 2005
Microsoft Japan	Headquarters	Chōfu, Tokyo
Microsoft Japan	Headquarters	Japan
Microsoft Japan	Number of employees	371 (2006)
Microsoft Japan	Website	www.microsoft.com/ja-jp/
Microsoft Office	Available in	16 languages
Microsoft Office	Initial release	1989-08-01
Microsoft Office	Initial release	August 1, 1989
Microsoft Office	License	Proprietary
Microsoft Office	License	SaaS
Microsoft Office	License	commercial software
Microsoft Office	License	retail
Microsoft Office	License	volume licensing
Microsoft Office	Operating system	Classic Mac OS
Microsoft Office	Operating system	macOS
Microsoft Office	Type	Office suite
Microsoft Office	Website	office
Microsoft Office	Written in	C++
Microsoft Office	Written in	Objective-C
Microsoft Outlook	License	Proprietary
Microsoft Outlook	License	commercial software
Microsoft Outlook	Operating system	macOS
Microsoft Outlook	Type	Personal information manager
Microsoft Outlook	Website	www
Microsoft PowerPoint	License	Trialware
Microsoft PowerPoint	Operating system	Windows 10
Microsoft PowerPoint	Operating system	Windows 10 Mobile
Microsoft PowerPoint	Type	Presentation program
Microsoft PowerPoint	Website	www
Microsoft Surface	Operating system	Android
Microsoft Surface	Operating system	Surface & Surface 2 only support up to
Microsoft Surface	Operating system	Windows 10
Microsoft Surface	Operating system	Windows RT
Microsoft Surface	Release date	List of Products
Microsoft Surface	Release date	Surface
Microsoft Surface	Release date	Surface 2
Microsoft Surface	Release date	Surface 3
Microsoft Surface	Release date	Surface Book
Microsoft Surface	Release date	Surface Book 2
Microsoft Surface	Release date	Surface Book with Performance Base
Microsoft Surface	Release date	Surface Duo
Microsoft Surface	Release date	Surface Go
Microsoft Surface	Release date	Surface Go with LTE Advanced
Microsoft Surface	Release date	Surface Hub
Microsoft Surface	Release date	Surface Hub 2:
Microsoft Surface	Release date	Surface Laptop
Microsoft Surface	Release date	Surface Laptop 2
Microsoft Surface	Release date	Surface Laptop 3
Microsoft Surface	Release date	Surface Neo
Microsoft Surface	Release date	Surface Pro
Microsoft Surface	Release date	Surface Pro (2017)
Microsoft Surface	Release date	Surface Pro 2
Microsoft Surface	Release date	Surface Pro 3
Microsoft Surface	Release date	Surface Pro 4
Microsoft Surface	Release date	Surface Pro 6
Microsoft Surface	Release date	Surface Pro 7
Microsoft Surface	Release date	Surface Pro X
Microsoft Surface	Release date	Surface Pro with LTE Advanced
Microsoft Surface	Release date	Surface Studio
Microsoft Surface	Release date	Surface Studio 2
Microsoft Surface	Type	2-in-1 detachables
Microsoft Surface	Type	Hybrid tablets
Microsoft Surface	Type	Laptops
Microsoft Surface	Type	all-in-one PCs
Microsoft Surface	Type	interactive whiteboards
Microsoft Surface	Website	Official website
Microsoft Surface Go	Operating system	Windows 10
Microsoft Surface Go	Release date	2018-08-02
Microsoft Surface Go	Release date	August 2, 2018
Microsoft Surface Go	Type	2-in-1 detachable
Microsoft Surface Go	Website	www
Microsoft Word	License	Proprietary
Microsoft Word	License	software plus services
Microsoft Word	Operating system	macOS High Sierra
Microsoft Word	Operating system	macOS Mojave
Microsoft Word	Operating system	macOS Sierra
Microsoft Word	Type	Word processor
Microsoft Word	Website	products
Minds	Operating system	Android
Minds	Operating system	iOS
Minds	Website	www
Mixi	Advertising	Banner ads
Mixi	Available in	Japanese
Mixi	Current status	Active
Mixi	Founded	1999
Mixi	Headquarters	Shibuya
Mixi	Headquarters	Tokyo
Mixi	Launched	February 2004
Mixi	Type of business	Public
Mixi	Type of business	kabushiki gaisha
Mixi	Website	mixi
Multiply (website)	Available in	English, Indonesian, Japanese, Thai, Spanish, Portuguese
Multiply (website)	Current status	Defunct/Inactive (as a social networking site)
Multiply (website)	Launched	December, 2003
Multiply (website)	Website	http://multiply.com/
NeoOffice	License	GPL
NeoOffice	Operating system	macOS 10.12
NeoOffice	Type	Office suite
NeoOffice	Website	www
Odnoklassniki	Available in	14 languages:
Odnoklassniki	Available in	Armenian
Odnoklassniki	Available in	Azerbaijani
Odnoklassniki	Available in	English
Odnoklassniki	Available in	Georgian
Odnoklassniki	Available in	German
Odnoklassniki	Available in	Kazakh
Odnoklassniki	Available in	Kyrgyz
Odnoklassniki	Available in	Romanian
Odnoklassniki	Available in	Russian
Odnoklassniki	Available in	Tajik
Odnoklassniki	Available in	Turkish
Odnoklassniki	Available in	Ukrainian
Odnoklassniki	Available in	Uzbek
Odnoklassniki	Launched	2006-03-04
Odnoklassniki	Launched	March 4, 2006
Odnoklassniki	Website	ok.ru
Office Sway	Initial release	2015-08-05
Office Sway	Initial release	5 August 2015
Office Sway	Operating system	Windows 10
Office Sway	Website	www
OneDrive	Alexa rank	137,305 (2 November 2019
OneDrive	Available in	107 languages
OneDrive	Launched	2007-08-01
OneDrive	Launched	August 1, 2007
OneDrive	Website	onedrive
OpenDocument	Initial release	1 May 2005
OpenDocument	Initial release	2005-05-01
OpenDocument	Website	OASIS
OpenSocial	Initial release	2007-11-01
OpenSocial	Initial release	November 1, 2007
OpenSocial	License	Apache License 2.0
OpenSocial	Type	Web application framework
OpenSocial	Website	opensocial
OpenSocial	Written in	C#
OpenSocial	Written in	HTML
OpenSocial	Written in	Java
OpenSocial	Written in	JavaScript
OpenSocial	Written in	PHP
Orkut	Advertising	AdSense
Orkut	Area served	Worldwide
Orkut	Available in	Multilingual
Orkut	Founded	2004-01-24
Orkut	Founded	January 24, 2004
Orkut	Industry	Internet
Orkut	Type of business	Private
Orkut	Website	www
Outercurve Foundation	Type	NGO
Outercurve Foundation	Type	Non-profit organization
Outercurve Foundation	Website	www
PDF	Initial release	1996
Periscope (app)	Available in	Multilingual
Periscope (app)	Initial release	2015-03-26
Periscope (app)	Initial release	26 March 2015
Periscope (app)	Operating system	Android
Periscope (app)	Operating system	iOS
Periscope (app)	Operating system	tvOS
Periscope (app)	Type	Social networking service
Periscope (app)	Type	Video streaming
Periscope (app)	Website	www
Periscope (app)	Written in	Go
Periscope (app)	Written in	server-side
Phil Spencer (business executive)	Title	Executive Vice President of Gaming at Microsoft
Pinterest	Founded	2009-12
Pinterest	Founded	December 2009
Pinterest	Headquarters	California
Pinterest	Headquarters	San Francisco
Pinterest	Headquarters	United States
Pinterest	Industry	Social networking
Pinterest	Number of employees	1,600
Pinterest	Type	Public
Pinterest	Website	www
Plurk	Initial release	2013-10-31
Plurk	Initial release	October 31, 2013
Plurk	Operating system	Android
Plurk	Operating system	Web
Plurk	Operating system	iOS
Plurk	Type	Social media service
Plurk	Website	www
Powerdot	Initial release	2005
Powerdot	License	LaTeX Project Public License
Powerdot	Type	Presentation software
Powerdot	Website	powerdot
Powerset (company)	Founded	San Francisco
Powerset (company)	Founded	U.S.
Powerset (company)	Headquarters	San Francisco, California
Powerset (company)	Headquarters	U.S.
Powerset (company)	Website	www
Prezi	Available in	English
Prezi	Available in	French
Prezi	Available in	German
Prezi	Available in	Hungarian
Prezi	Available in	Italian
Prezi	Available in	Japanese
Prezi	Available in	Korean
Prezi	Available in	Portuguese
Prezi	Available in	Spanish
Prezi	Current status	Active
Prezi	Headquarters	Hungary
Prezi	Launched	2009-04-05
Prezi	Launched	April 5, 2009
Prezi	Website	www
Promo.com	Area served	Worldwide
Promo.com	Founded	2012
Promo.com	Founded	Tel Aviv, Israel 2012
Promo.com	Headquarters	Israel
Promo.com	Headquarters	Tel Aviv
Promo.com	Industry	Video creation service
Promo.com	Industry	Video slideshows
Promo.com	Number of employees	55
Promo.com	Type	Private
Promo.com	Website	promo
Proximus Group	Founded	1930 (as RTT)
Proximus Group	Headquarters	Brussels
Proximus Group	Industry	Telecommunications
Proximus Group	Number of employees	14,090
Proximus Group	Number of employees	FTE
Proximus Group	Operating income	€777 million
Proximus Group	Revenue	€6.012 billion
Proximus Group	Total assets	€8.283 billion
Proximus Group	Type	Public limited company
Proximus Group	Website	www.proximus.com
QSC AG	Founded	1997
QSC AG	Headquarters	Cologne
QSC AG	Headquarters	Germany
QSC AG	Industry	Telecommunications
QSC AG	Number of employees	610
QSC AG	Operating income	€20.9 million
QSC AG	Revenue	€422.1 million
QSC AG	Total assets	€332.2 million
QSC AG	Type	Aktiengesellschaft
QSC AG	Website	www.qsc.de
Qiagen	Founded	1984-11-29
Qiagen	Founded	November 29, 1984
Qiagen	Headquarters	Düsseldorf
Qiagen	Headquarters	Germany
Qiagen	Headquarters	Hilden
Qiagen	Headquarters	Netherlands
Qiagen	Headquarters	Venlo
Qiagen	Industry	Biotechnology
Qiagen	Number of employees	about 5,000
Qiagen	Operating income	US $403.3 million
Qiagen	Revenue	US $1,501.848 million
Qiagen	Total assets	US $5,748.332 million
Qiagen	Type	Naamloze vennootschap
Qiagen	Website	www
Recruit (company)	Founded	1963-08-26
Recruit (company)	Founded	26 August 1963
Recruit (company)	Founded	inconsistent
Recruit (company)	Headquarters	Japan
Recruit (company)	Headquarters	Tokyo
Recruit (company)	Industry	Published media
Recruit (company)	Number of employees	45,688 (group) (as of March 31, 2017)
Recruit (company)	Number of employees	512 (holding company)
Recruit (company)	Revenue	1,839.98 billion
Recruit (company)	Revenue	Yen
Recruit (company)	Type	K.K
Recruit (company)	Type	Public
Recruit (company)	Website	Official website
Renren	Advertising	Banner ads
Renren	Advertising	referral marketing
Renren	Area served	China
Renren	Available in	Chinese language
Renren	Current status	Active
Renren	Employees	4,602
Renren	Founded	2005-12
Renren	Founded	December 2005
Renren	Headquarters	Beijing
Renren	Headquarters	China
Renren	Industry	Social networking service
Renren	Type of business	NYSE
Renren	Type of business	Public
Renren	Type of business	RENN
S. Somasegar	Title	Managing director, Madrona Venture Group
S. Somasegar	Website	www
Sartorius AG	Area served	Worldwide
Sartorius AG	Founded	1870 in Göttingen
Sartorius AG	Headquarters	Göttingen
Sartorius AG	Industry	Laboratory
Sartorius AG	Industry	Pharmaceutical
Sartorius AG	Number of employees	2
Sartorius AG	Revenue	1 566.0 million
Sartorius AG	Revenue	€
Sartorius AG	Revenue	€ 1 404.6 million
Sartorius AG	Type	Aktiengesellschaft
Sartorius AG	Website	www
Shiftgig	Area served	National
Shiftgig	Founded	January 2012
Shiftgig	Headquarters	Chicago
Shiftgig	Industry	Professional services
Shiftgig	Type	Privately held company
Shiftgig	Website	www
Simplygon	License	Proprietary
Simplygon	Operating system	Windows
Simplygon	Website	simplygon
Sina Weibo	Available in	English (partial)
Sina Weibo	Available in	Simplified Chinese
Sina Weibo	Available in	Traditional Chinese
Sina Weibo	Current status	Active
Sina Weibo	Launched	14 August 2009
Sina Weibo	Launched	2009-08-14
Sina Weibo	Website	weibo
Six Apart	Founded	2001-09
Six Apart	Founded	California
Six Apart	Founded	San Francisco
Six Apart	Founded	September 2001
Six Apart	Founded	U.S.
Six Apart	Headquarters	Tokyo, Japan
Six Apart	Industry	Software & Programming
Six Apart	Type	Private
Six Apart	Website	www.sixapart.com
Six Apart	Website	www.sixapart.jp
SixDegrees.com	Current status	Active
SixDegrees.com	Launched	1997
SixDegrees.com	Website	sixdegrees
SlideRocket	License	Proprietary
SlideRocket	Operating system	Web-based Application
SlideRocket	Type	Web-based Productivity Tools
SlideRocket	Website	SlideRocket.com
SoftMaker Presentations	Initial release	2007
SoftMaker Presentations	License	Proprietary (commercial or
SoftMaker Presentations	License	freeware
SoftMaker Presentations	License	registerware
SoftMaker Presentations	Operating system	Android
SoftMaker Presentations	Operating system	Linux
SoftMaker Presentations	Operating system	MS Windows
SoftMaker Presentations	Operating system	Pocket PCs
SoftMaker Presentations	Operating system	Windows CE
SoftMaker Presentations	Type	presentation program
Stratec Biomedical Systems	Founded	1979
Stratec Biomedical Systems	Headquarters	Birkenfeld
Stratec Biomedical Systems	Type	joint-stock company
Stratec Biomedical Systems	Website	stratec
SwiftKey	Available in	300+ (Android)
SwiftKey	Initial release	2010-07
SwiftKey	Initial release	July 2010
SwiftKey	License	Proprietary software
SwiftKey	Operating system	Android
SwiftKey	Operating system	iOS
SwiftKey	Operating system	windows 10
SwiftKey	Type	Virtual keyboard
SwiftKey	Website	www
TV Time	Available in	Multilingual
TV Time	Current status	Active
TV Time	Launched	2011
Taringa!	Launched	Argentina
Taringa!	Website	Taringa.net
Tinder (app)	Area served	Global
Tinder (app)	Founded	2012
Tinder (app)	Headquarters	California
Tinder (app)	Headquarters	Los Angeles
Tinder (app)	Headquarters	West Hollywood
Tinder (app)	Industry	Software
Tinder (app)	Website	www
Tuenti	Area served	Argentina
Tuenti	Area served	Ecuador
Tuenti	Area served	Guatemala
Tuenti	Area served	Peru
Tuenti	Area served	Spain
Tuenti	Founded	2006
Tuenti	Headquarters	Gran Vía, 28.
Tuenti	Headquarters	Madrid
Tuenti	Headquarters	Spain
Tuenti	Industry	Internet
Tuenti	Industry	Software
Tuenti	Industry	Telecommunications
Tuenti	Number of employees	180 (2016, approximation)
Tuenti	Type	Limited
Tuenti	Type	Private
Tuenti	Website	www
Twister (software)	Available in	English, Russian
Twister (software)	Initial release	2013-12-30
Twister (software)	Initial release	December 30, 2013
Twister (software)	License	MIT and BSD licenses
Twister (software)	Operating system	Android
Twister (software)	Operating system	FreeBSD
Twister (software)	Operating system	Linux
Twister (software)	Operating system	Mac OS X
Twister (software)	Operating system	Microsoft Windows
Twister (software)	Type	Social network service
Twister (software)	Type	microblogging
Twister (software)	Website	twister
Untappd	Operating system	Android
Untappd	Operating system	iOS
Untappd	Website	www
